,node1,node2,total_weight
0,1,20,4
1,1,24,1
2,1,30,20
3,1,45,7
4,1,169,36
5,1,177,8
6,1,178,9
7,1,182,26
8,1,183,4
9,1,192,12
10,1,247,36
11,1,300,1
12,1,330,18
13,1,358,4
14,1,359,7
15,1,361,1
16,1,368,8
17,1,389,34
18,1,397,3
19,1,419,8
20,1,422,70
21,1,424,7
22,1,436,35
23,1,461,4
24,1,490,6
25,1,549,8
26,1,603,32
27,1,678,9
28,1,680,2
29,1,702,17
30,1,703,9
31,1,712,8
32,1,715,14
33,1,716,1
34,1,753,33
35,1,777,6
36,1,781,2
37,1,787,10
38,1,799,3
39,1,813,1
40,1,852,16
41,1,880,2
42,1,966,3
43,1,983,1
44,1,998,1
45,1,999,10
46,1,1000,1
47,1,1067,3
48,1,1201,1
49,1,1223,12
50,1,1246,8
51,1,1323,1
52,1,1367,6
53,1,1388,1
54,1,1435,16
55,1,1486,1
56,1,1559,1
57,1,1560,34
58,1,1571,2
59,1,1728,1
60,1,1736,9
61,1,1755,1
62,1,1799,7
63,1,1803,3
64,1,1804,25
65,1,1839,17
66,1,1843,5
67,1,1844,3
68,1,1846,1
69,1,1856,3
70,1,1857,4
71,1,1858,15
72,1,1859,18
73,1,1860,14
74,1,1861,9
75,1,1866,16
76,1,1867,18
77,1,1868,18
78,1,1869,18
79,1,1870,6
80,1,1871,13
81,1,1872,13
82,1,1873,11
83,1,1879,22
84,1,1880,4
85,1,1881,11
86,1,1882,12
87,1,1883,10
88,1,1884,19
89,1,1903,26
90,1,1904,11
91,1,1993,2
92,1,2049,1
93,1,2052,12
94,1,2054,32
95,1,2055,22
96,1,2056,13
97,1,2057,1
98,1,2058,19
99,1,2059,16
100,1,2060,19
101,1,2061,22
102,1,2062,9
103,1,2066,11
104,1,2067,5
105,1,2068,10
106,1,2069,23
107,1,2070,15
108,1,2071,5
109,1,2072,12
110,1,2073,24
111,1,2074,5
112,1,2075,14
113,1,2076,6
114,1,2077,4
115,1,2078,16
116,1,2079,19
117,1,2080,25
118,1,2081,15
119,1,2086,1
120,1,2087,19
121,1,2088,11
122,1,2089,1
123,1,2090,7
124,1,2091,4
125,1,2092,8
126,1,2093,5
127,1,2100,8
128,1,2101,8
129,1,2123,12
130,1,2258,2
131,1,2260,12
132,1,2262,1
133,1,2264,6
134,1,2272,13
135,1,2273,11
136,1,2274,9
137,1,2275,9
138,1,2283,2
139,1,2284,8
140,1,2285,13
141,1,2290,6
142,1,2291,18
143,1,2292,13
144,1,2293,12
145,1,2298,15
146,1,2299,7
147,1,2300,10
148,1,2301,7
149,1,2302,8
150,1,2303,4
151,1,2304,10
152,1,2305,18
153,1,2323,5
154,1,2324,11
155,1,2335,14
156,1,2336,2
157,1,2337,2
158,1,2346,3
159,1,2347,1
160,1,2348,1
161,1,2357,1
162,1,2361,1
163,1,2461,3
164,1,2466,1
165,1,2474,6
166,1,2475,1
167,1,2478,1
168,1,2480,7
169,1,2486,1
170,1,2487,6
171,1,2495,10
172,1,2501,3
173,1,2502,2
174,1,2504,3
175,1,2511,8
176,1,2525,12
177,1,2538,1
178,1,2555,1
179,1,2668,1
180,1,2685,1
181,1,2709,4
182,1,2760,4
183,1,3007,4
184,1,3198,8
185,1,3874,1
186,1,3879,1
187,1,3885,4
188,1,3977,20
189,1,3978,12
190,1,3983,28
191,1,3988,1
192,1,4036,8
193,1,4045,9
194,1,4063,3
195,1,4073,2
196,1,4074,10
197,1,4076,1
198,1,4077,5
199,1,4085,20
200,1,4098,1
201,1,4101,9
202,1,4103,3
203,1,4144,10
204,1,4153,1
205,1,4155,14
206,1,4156,1
207,1,4160,10
208,1,4161,8
209,1,4164,14
210,1,4165,29
211,1,4169,5
212,1,4174,10
213,1,4178,17
214,1,4186,11
215,1,4191,7
216,1,4200,8
217,1,4201,7
218,1,4208,8
219,1,4214,3
220,1,4224,14
221,1,4243,5
222,1,4246,12
223,1,4253,18
224,1,4256,1
225,1,4258,3
226,1,4284,2
227,1,4294,9
228,1,4302,8
229,1,4303,21
230,1,4305,1
231,1,4318,2
232,1,4320,2
233,1,4321,2
234,1,4322,1
235,1,4325,5
236,1,4345,3
237,1,4356,2
238,1,4359,1
239,1,4362,1
240,1,4372,1
241,2,3,13
242,2,10,16
243,2,169,1
244,2,171,11
245,2,177,1
246,2,178,6
247,2,182,2
248,2,193,2
249,2,287,1
250,2,358,2
251,2,368,1
252,2,461,8
253,2,490,1
254,2,612,1
255,2,678,2
256,2,705,3
257,2,754,1
258,2,759,9
259,2,761,2
260,2,852,3
261,2,856,1
262,2,860,5
263,2,893,1
264,2,954,2
265,2,956,1
266,2,983,34
267,2,998,3
268,2,1112,2
269,2,1116,1
270,2,1206,2
271,2,1210,3
272,2,1249,2
273,2,1403,3
274,2,1411,1
275,2,1542,1
276,2,1548,1
277,2,1601,1
278,2,1654,2
279,2,1724,15
280,2,1738,1
281,2,1796,1
282,2,1807,1
283,2,1808,1
284,2,1820,2
285,2,1823,1
286,2,1830,1
287,2,1846,1
288,2,1987,1
289,2,1995,2
290,2,2188,9
291,2,2191,1
292,2,2389,1
293,2,2408,2
294,2,2752,1
295,2,2760,2
296,2,2789,1
297,2,2934,2
298,2,3007,2
299,2,3317,1
300,2,3581,1
301,2,3583,1
302,2,3709,3
303,2,3876,2
304,2,3885,1
305,2,3887,1
306,2,3888,2
307,2,3889,2
308,2,3890,3
309,2,3986,1
310,2,4052,3
311,2,4061,2
312,2,4073,13
313,2,4074,8
314,2,4092,2
315,2,4101,20
316,2,4125,1
317,2,4151,1
318,2,4183,1
319,2,4188,1
320,2,4195,3
321,2,4204,1
322,2,4230,1
323,2,4243,2
324,2,4259,1
325,2,4274,1
326,2,4296,2
327,2,4311,2
328,2,4318,4
329,2,4327,1
330,2,4350,3
331,2,4355,1
332,2,4360,10
333,2,4368,1
334,2,4376,9
335,2,4377,2
336,2,4382,1
337,2,4387,1
338,2,4389,6
339,3,10,10
340,3,11,11
341,3,12,4
342,3,17,5
343,3,19,5
344,3,21,1
345,3,22,6
346,3,25,2
347,3,30,4
348,3,82,3
349,3,146,96
350,3,147,102
351,3,159,2
352,3,171,15
353,3,176,1
354,3,177,5
355,3,178,25
356,3,182,68
357,3,183,4
358,3,192,3
359,3,193,25
360,3,247,6
361,3,330,6
362,3,358,19
363,3,368,11
364,3,389,27
365,3,397,9
366,3,404,2
367,3,408,1
368,3,419,1
369,3,436,56
370,3,441,3
371,3,447,3
372,3,458,2
373,3,461,3
374,3,463,17
375,3,469,2
376,3,473,1
377,3,478,1
378,3,490,8
379,3,492,1
380,3,496,7
381,3,603,65
382,3,612,3
383,3,678,27
384,3,693,2
385,3,702,13
386,3,703,9
387,3,704,1
388,3,705,10
389,3,706,7
390,3,709,10
391,3,710,2
392,3,715,4
393,3,753,64
394,3,754,1
395,3,759,21
396,3,761,7
397,3,763,8
398,3,764,4
399,3,769,23
400,3,787,7
401,3,792,2
402,3,796,1
403,3,813,1
404,3,839,2
405,3,852,6
406,3,856,7
407,3,860,6
408,3,873,2
409,3,880,2
410,3,893,2
411,3,895,36
412,3,941,1
413,3,953,39
414,3,954,9
415,3,956,3
416,3,959,5
417,3,961,10
418,3,967,1
419,3,969,1
420,3,974,22
421,3,983,13
422,3,998,2
423,3,999,3
424,3,1000,1
425,3,1010,3
426,3,1014,2
427,3,1021,2
428,3,1031,1
429,3,1045,1
430,3,1063,1
431,3,1079,1
432,3,1105,3
433,3,1109,22
434,3,1110,5
435,3,1111,1
436,3,1112,1
437,3,1113,2
438,3,1114,10
439,3,1115,1
440,3,1116,8
441,3,1135,14
442,3,1188,1
443,3,1201,1
444,3,1206,4
445,3,1208,3
446,3,1210,5
447,3,1240,1
448,3,1254,2
449,3,1266,1
450,3,1313,4
451,3,1367,1
452,3,1378,13
453,3,1385,1
454,3,1393,1
455,3,1396,7
456,3,1412,1
457,3,1424,4
458,3,1437,1
459,3,1442,1
460,3,1466,1
461,3,1482,21
462,3,1483,38
463,3,1484,16
464,3,1491,4
465,3,1504,1
466,3,1530,1
467,3,1541,1
468,3,1548,5
469,3,1554,1
470,3,1560,1
471,3,1563,2
472,3,1564,23
473,3,1569,5
474,3,1581,1
475,3,1601,1
476,3,1630,12
477,3,1631,21
478,3,1632,10
479,3,1633,11
480,3,1635,1
481,3,1636,18
482,3,1638,1
483,3,1639,11
484,3,1640,2
485,3,1654,2
486,3,1678,4
487,3,1693,1
488,3,1704,2
489,3,1722,19
490,3,1724,1
491,3,1727,1
492,3,1733,1
493,3,1734,1
494,3,1738,1
495,3,1756,4
496,3,1759,1
497,3,1778,2
498,3,1779,1
499,3,1789,2
500,3,1796,1
501,3,1797,11
502,3,1798,26
503,3,1803,6
504,3,1805,1
505,3,1806,2
506,3,1807,1
507,3,1809,1
508,3,1812,2
509,3,1816,1
510,3,1819,1
