,celltype, key,0.75,0.05,0.1,0.25,0.5,1.0,0.0
0,,1,1,1,1,1,1,1,1
1,5-HTPMPD01,2,2,1,1,2,2,2,1
2,5-HTPMPV01,3,3,2,2,3,3,3,2
3,5-HTPMPV03,4,4,2,3,3,4,4,2
4,ALIN3,5,5,3,4,4,5,5,3
5,AOTU003,6,6,4,5,5,6,6,4
6,AOTU004,7,7,4,6,6,7,7,4
7,AOTU007,8,8,2,7,3,8,8,2
8,AOTU008_a,9,9,2,2,3,9,9,2
9,AOTU011,10,10,2,2,3,10,10,2
10,AOTU012,11,11,2,8,7,11,11,2
11,AOTU015,12,12,2,2,3,9,12,2
12,AOTU016,13,13,4,6,8,12,13,4
13,AOTU019,14,14,4,6,8,13,14,4
14,AOTU020,15,15,4,6,3,14,15,4
15,AOTU022,16,16,5,9,9,15,16,5
16,AOTU024,17,17,2,7,10,16,17,2
17,AOTU028,18,18,4,6,3,9,18,4
18,AOTU029,19,19,4,6,8,17,19,4
19,AOTU030,20,20,3,10,11,18,20,3
20,AOTU035,21,18,2,2,3,12,21,2
21,AOTU042,22,21,4,6,8,19,22,4
22,AOTU044,23,18,2,6,3,9,21,2
23,AOTU061,24,22,2,2,3,9,23,2
24,AOTU062,25,23,2,2,12,9,24,2
25,AOTU064,26,24,2,2,3,20,25,2
26,ATL001,27,25,3,7,10,21,26,3
27,ATL002,28,26,3,7,10,22,27,3
28,ATL003,29,27,3,7,10,23,28,3
29,ATL004,30,28,6,7,13,24,29,6
30,ATL006,31,29,2,7,10,25,30,2
31,ATL007,32,30,2,7,10,26,31,2
32,ATL008,33,31,2,7,10,27,32,2
33,ATL012,34,25,3,7,10,21,26,3
34,ATL015,35,32,3,7,10,23,33,3
35,ATL017,36,33,5,7,14,28,34,5
36,ATL018,37,33,5,7,14,28,34,5
37,ATL022,38,34,2,7,10,25,35,2
38,ATL024,39,35,1,3,13,29,36,1
39,ATL027,40,36,5,9,15,30,37,5
40,ATL029,41,36,5,9,15,30,38,5
41,ATL033,42,37,5,7,10,31,39,5
42,ATL034,43,37,5,7,10,31,39,5
43,ATL035,44,38,4,6,16,32,40,4
44,ATL036,45,39,4,6,16,32,41,4
45,ATL037,46,40,5,7,10,25,42,5
46,ATL038,47,25,3,7,10,21,26,3
47,ATL039,48,25,3,7,10,21,26,3
48,ATL040,49,40,2,7,10,25,42,2
49,ATL042,50,41,2,7,10,25,43,2
50,ATL044,51,42,4,7,10,33,44,4
51,AVLP015,52,43,4,6,17,34,45,4
52,AVLP016,53,44,2,3,18,35,46,2
53,AVLP032,54,45,5,9,9,36,47,5
54,AVLP075,55,46,2,2,19,37,48,2
55,AVLP077,56,47,2,3,20,38,49,2
56,AVLP096,57,48,2,3,12,39,50,2
57,AVLP255,58,49,2,3,12,39,51,2
58,AVLP256,59,50,2,3,12,40,50,2
59,AVLP316,60,23,2,2,3,41,50,2
60,AVLP428,61,51,1,2,19,42,52,1
61,AVLP460,62,52,2,3,12,43,53,2
62,AVLP470,63,53,2,2,12,44,54,2
63,AVLP473,64,54,5,9,19,45,55,5
64,AVLP477,65,55,5,9,9,46,56,5
65,AVLP491,66,50,2,3,12,9,57,2
66,AVLP493,67,56,3,10,21,47,58,3
67,AVLP494,68,56,2,2,3,47,58,2
68,AVLP495,69,57,4,11,13,48,59,4
69,AVLP496,70,58,2,2,3,49,18,2
70,AVLP497,71,59,3,10,21,50,60,3
71,AVLP498,72,44,2,3,18,35,46,2
72,AVLP525,73,47,2,3,20,38,49,2
73,AVLP530,74,60,2,3,12,51,61,2
74,AVLP561,75,61,2,3,12,52,62,2
75,AVLP562,76,62,5,9,9,53,63,5
76,AVLP563,77,63,5,9,9,54,64,5
77,AVLP590,78,56,2,2,3,47,58,2
78,AVLP593,79,64,2,3,12,55,65,2
79,AstA1,80,45,1,1,19,56,47,1
80,CL003,81,65,1,1,2,57,66,1
81,CL006,82,66,2,2,22,58,67,2
82,CL007,83,67,6,3,23,59,68,6
83,CL008,84,68,2,3,12,60,69,2
84,CL009,85,68,2,3,12,60,69,2
85,CL010,86,69,2,3,12,60,70,2
86,CL017,87,70,1,1,13,61,71,1
87,CL018,88,71,2,2,3,62,72,2
88,CL019_a,89,70,1,2,24,63,73,1
89,CL019_b,90,72,2,2,3,64,74,2
90,CL020,91,72,2,2,3,64,74,2
91,CL025,92,73,2,8,7,65,75,2
92,CL029,93,74,2,2,19,66,76,2
93,CL030,94,74,2,2,19,66,76,2
94,CL031,95,40,2,7,10,25,17,2
95,CL038,96,75,2,3,12,67,77,2
96,CL039,97,67,6,3,23,59,78,6
97,CL040,98,76,2,3,3,68,79,2
98,CL041,99,77,2,2,3,60,80,2
99,CL042,100,78,2,3,25,69,81,2
