id, key,0.0,0.05,0.1,0.5,0.75,1.0,instance,celltype,pre,post,downstream,upstream,mito,size,status,cropped,statusLabel,cellBodyFiber,somaRadius,somaLocation,roiInfo,notes,inputRois,outputRois
1003215282,1,1,1,1,1,1,1,CL229_R,CL229,100,439,851,439,89,330447753,Traced,False,Roughly traced,PDM19,301.0,"[23044, 14981, 11600]","{'INP': {'pre': 87, 'post': 351, 'downstream': 761, 'upstream': 351, 'mito': 63, 'dark': 30, 'light': 20, 'medium': 13}, 'SCL(R)': {'pre': 13, 'post': 58, 'downstream': 142, 'upstream': 58, 'mito': 11, 'dark': 6, 'light': 2, 'medium': 3}, 'SNP(R)': {'post': 7, 'upstream': 7}, 'SMP(R)': {'post': 7, 'upstream': 7}, 'ICL(R)': {'pre': 52, 'post': 202, 'downstream': 476, 'upstream': 202, 'mito': 32, 'dark': 12, 'light': 14, 'medium': 6}, 'IB': {'pre': 22, 'post': 91, 'downstream': 143, 'upstream': 91, 'mito': 20, 'dark': 12, 'light': 4, 'medium': 4}, 'VMNP': {'pre': 13, 'post': 81, 'downstream': 90, 'upstream': 81, 'mito': 18, 'dark': 11, 'light': 1, 'medium': 6}, 'SPS(R)': {'pre': 1, 'post': 15, 'downstream': 7, 'upstream': 15, 'mito': 4, 'dark': 1, 'medium': 3}, 'GOR(R)': {'pre': 12, 'post': 52, 'downstream': 83, 'upstream': 52, 'mito': 10, 'dark': 6, 'light': 1, 'medium': 3}, 'EPA(R)': {'post': 7, 'upstream': 7, 'mito': 1, 'dark': 1}, 'VES(R)': {'post': 7, 'upstream': 7, 'mito': 3, 'dark': 3}}",,"['EPA(R)', 'GOR(R)', 'IB', 'ICL(R)', 'INP', 'SCL(R)', 'SMP(R)', 'SNP(R)', 'SPS(R)', 'VES(R)', 'VMNP']","['GOR(R)', 'IB', 'ICL(R)', 'INP', 'SCL(R)', 'SPS(R)', 'VMNP']"
1005952640,2,2,1,1,2,2,2,IB058_R,IB058,664,2047,6123,2047,325,1435852519,Traced,False,Roughly traced,PVL20,,,"{'INP': {'pre': 464, 'post': 1327, 'downstream': 4336, 'upstream': 1327, 'mito': 187, 'dark': 130, 'light': 7, 'medium': 50}, 'ATL(R)': {'pre': 70, 'post': 212, 'downstream': 624, 'upstream': 212, 'mito': 22, 'dark': 9, 'light': 1, 'medium': 12}, 'IB': {'pre': 380, 'post': 1026, 'downstream': 3577, 'upstream': 1026, 'mito': 150, 'dark': 112, 'light': 3, 'medium': 35}, 'ICL(R)': {'pre': 14, 'post': 89, 'downstream': 135, 'upstream': 89, 'mito': 15, 'dark': 9, 'light': 3, 'medium': 3}, 'VLNP(R)': {'pre': 13, 'post': 69, 'downstream': 121, 'upstream': 69, 'mito': 20, 'dark': 16, 'medium': 4}, 'PLP(R)': {'pre': 13, 'post': 69, 'downstream': 121, 'upstream': 69, 'mito': 20, 'dark': 16, 'medium': 4}, 'VMNP': {'pre': 186, 'post': 650, 'downstream': 1665, 'upstream': 650, 'mito': 105, 'dark': 92, 'light': 3, 'medium': 10}, 'SPS(R)': {'pre': 186, 'post': 650, 'downstream': 1665, 'upstream': 650, 'mito': 105, 'dark': 92, 'light': 3, 'medium': 10}}",,"['ATL(R)', 'IB', 'ICL(R)', 'INP', 'PLP(R)', 'SPS(R)', 'VLNP(R)', 'VMNP']","['ATL(R)', 'IB', 'ICL(R)', 'INP', 'PLP(R)', 'SPS(R)', 'VLNP(R)', 'VMNP']"
1006928515,3,1,1,1,3,3,3,CL300_R,CL300,86,173,636,173,60,222728733,Traced,False,Roughly traced,PVL13,236.0,"[12083, 10523, 16816]","{'INP': {'pre': 79, 'post': 126, 'downstream': 589, 'upstream': 126, 'mito': 45, 'dark': 45}, 'SCL(R)': {'pre': 5, 'post': 47, 'downstream': 39, 'upstream': 47, 'mito': 9, 'dark': 9}, 'SNP(R)': {'pre': 6, 'post': 37, 'downstream': 42, 'upstream': 37, 'mito': 7, 'dark': 7}, 'SLP(R)': {'pre': 6, 'post': 37, 'downstream': 42, 'upstream': 37, 'mito': 7, 'dark': 7}, 'ICL(R)': {'pre': 5, 'post': 43, 'downstream': 23, 'upstream': 43, 'mito': 14, 'dark': 14}, 'ATL(R)': {'pre': 5, 'post': 7, 'downstream': 39, 'upstream': 7, 'mito': 1, 'dark': 1}, 'IB': {'pre': 64, 'post': 29, 'downstream': 488, 'upstream': 29, 'mito': 21, 'dark': 21}, 'VMNP': {'pre': 1, 'post': 8, 'downstream': 5, 'upstream': 8, 'mito': 3, 'dark': 3}, 'SPS(R)': {'pre': 1, 'post': 8, 'downstream': 5, 'upstream': 8, 'mito': 3, 'dark': 3}}",,"['ATL(R)', 'IB', 'ICL(R)', 'INP', 'SCL(R)', 'SLP(R)', 'SNP(R)', 'SPS(R)', 'VMNP']","['ATL(R)', 'IB', 'ICL(R)', 'INP', 'SCL(R)', 'SLP(R)', 'SNP(R)', 'SPS(R)', 'VMNP']"
1007260806,4,2,1,1,4,4,4,CL301_R,CL301,119,226,853,226,87,332246609,Traced,False,Roughly traced,PVL13,236.0,"[13524, 10108, 16480]","{'INP': {'pre': 40, 'post': 128, 'downstream': 260, 'upstream': 128, 'mito': 41, 'dark': 41}, 'SCL(R)': {'pre': 15, 'post': 46, 'downstream': 99, 'upstream': 46, 'mito': 10, 'dark': 10}, 'SNP(R)': {'pre': 1, 'post': 12, 'downstream': 6, 'upstream': 12, 'mito': 3, 'dark': 3}, 'SLP(R)': {'pre': 1, 'post': 12, 'downstream': 6, 'upstream': 12, 'mito': 3, 'dark': 3}, 'ICL(R)': {'pre': 16, 'post': 68, 'downstream': 96, 'upstream': 68, 'mito': 25, 'dark': 25}, 'IB': {'pre': 9, 'post': 14, 'downstream': 65, 'upstream': 14, 'mito': 6, 'dark': 6}, 'VMNP': {'pre': 77, 'post': 74, 'downstream': 581, 'upstream': 74, 'mito': 33, 'dark': 33}, 'SPS(R)': {'pre': 42, 'post': 47, 'downstream': 313, 'upstream': 47, 'mito': 22, 'dark': 22}, 'VLNP(R)': {'pre': 1, 'post': 10, 'downstream': 6, 'upstream': 10, 'mito': 3, 'dark': 3}, 'PLP(R)': {'pre': 1, 'post': 10, 'downstream': 6, 'upstream': 10, 'mito': 3, 'dark': 3}, 'GOR(R)': {'post': 1, 'upstream': 1}, 'SPS(L)': {'pre': 35, 'post': 26, 'downstream': 268, 'upstream': 26, 'mito': 11, 'dark': 11}}",,"['GOR(R)', 'IB', 'ICL(R)', 'INP', 'PLP(R)', 'SCL(R)', 'SLP(R)', 'SNP(R)', 'SPS(L)', 'SPS(R)', 'VLNP(R)', 'VMNP']","['IB', 'ICL(R)', 'INP', 'PLP(R)', 'SCL(R)', 'SLP(R)', 'SNP(R)', 'SPS(L)', 'SPS(R)', 'VLNP(R)', 'VMNP']"
1008024276,5,3,2,2,5,5,5,FB5N_R,FB5N,499,2011,3175,2011,377,1211500058,Traced,False,Roughly traced,AVM08,472.5,"[19178, 29711, 37312]","{'SNP(L)': {'post': 5, 'upstream': 5, 'mito': 2, 'dark': 2}, 'SMP(L)': {'post': 5, 'upstream': 5, 'mito': 2, 'dark': 2}, 'SNP(R)': {'pre': 20, 'post': 594, 'downstream': 75, 'upstream': 594, 'mito': 102, 'dark': 96, 'medium': 6}, 'SMP(R)': {'pre': 20, 'post': 559, 'downstream': 75, 'upstream': 559, 'mito': 98, 'dark': 92, 'medium': 6}, 'CX': {'pre': 470, 'post': 1028, 'downstream': 3062, 'upstream': 1028, 'mito': 176, 'dark': 152, 'light': 5, 'medium': 19}, 'FB': {'pre': 470, 'post': 1028, 'downstream': 3062, 'upstream': 1028, 'mito': 176, 'dark': 152, 'light': 5, 'medium': 19}, 'FBl6': {'pre': 83, 'post': 389, 'downstream': 516, 'upstream': 389, 'mito': 38, 'dark': 34, 'medium': 4}, 'SIP(R)': {'post': 35, 'upstream': 35, 'mito': 4, 'dark': 4}, 'FBl5': {'pre': 386, 'post': 633, 'downstream': 2540, 'upstream': 633, 'mito': 136, 'dark': 116, 'light': 5, 'medium': 15}, 'INP': {'pre': 7, 'post': 361, 'downstream': 30, 'upstream': 361, 'mito': 59, 'dark': 57, 'medium': 2}, 'CRE(R)': {'pre': 7, 'post': 361, 'downstream': 30, 'upstream': 361, 'mito': 59, 'dark': 57, 'medium': 2}, 'CRE(-ROB,-RUB)(R)': {'pre': 7, 'post': 361, 'downstream': 30, 'upstream': 361, 'mito': 59, 'dark': 57, 'medium': 2}, 'FB-column3': {'pre': 66, 'post': 147, 'downstream': 434, 'upstream': 147, 'mito': 26, 'dark': 23, 'light': 2, 'medium': 1}, 'FBl4': {'pre': 1, 'post': 6, 'downstream': 6, 'upstream': 6, 'mito': 2, 'dark': 2}, 'MB(R)': {'post': 1, 'upstream': 1}, 'gL(R)': {'post': 1, 'upstream': 1}, 'g4(R)': {'post': 1, 'upstream': 1}, 'MB(+ACA)(R)': {'post': 1, 'upstream': 1}, 'LX(R)': {'post': 18, 'upstream': 18, 'mito': 3, 'dark': 3}, 'LAL(R)': {'post': 18, 'upstream': 18, 'mito': 2, 'dark': 2}, 'LAL(-GA)(R)': {'post': 18, 'upstream': 18, 'mito': 2, 'dark': 2}}",SMPCREFB5_4,"['CRE(-ROB,-RUB)(R)', 'CRE(R)', 'CX', 'FB', 'FB-column3', 'FBl4', 'FBl5', 'FBl6', 'INP', 'LAL(-GA)(R)', 'LAL(R)', 'LX(R)', 'MB(+ACA)(R)', 'MB(R)', 'SIP(R)', 'SMP(L)', 'SMP(R)', 'SNP(L)', 'SNP(R)', 'g4(R)', 'gL(R)']","['CRE(-ROB,-RUB)(R)', 'CRE(R)', 'CX', 'FB', 'FB-column3', 'FBl4', 'FBl5', 'FBl6', 'INP', 'SMP(R)', 'SNP(R)']"
1008085163,6,1,1,1,6,6,6,None,None,161,145,1165,145,65,140507087,Traced,True,Leaves,,,,"{'SNP(L)': {'pre': 10, 'post': 9, 'downstream': 77, 'upstream': 9, 'mito': 3, 'dark': 3}, 'SMP(L)': {'pre': 10, 'post': 9, 'downstream': 77, 'upstream': 9, 'mito': 3, 'dark': 3}, 'INP': {'pre': 151, 'post': 135, 'downstream': 1088, 'upstream': 135, 'mito': 57, 'dark': 56, 'light': 1}, 'ATL(L)': {'pre': 24, 'post': 26, 'downstream': 163, 'upstream': 26, 'mito': 6, 'dark': 6}, 'IB': {'pre': 127, 'post': 109, 'downstream': 925, 'upstream': 109, 'mito': 51, 'dark': 50, 'light': 1}}",,"['ATL(L)', 'IB', 'INP', 'SMP(L)', 'SNP(L)']","['ATL(L)', 'IB', 'INP', 'SMP(L)', 'SNP(L)']"
1008102479,7,2,1,1,7,7,7,(PVM01)_L,None,106,225,776,225,125,289621160,Traced,False,Roughly traced,,,,"{'SNP(L)': {'post': 4, 'upstream': 4, 'mito': 1, 'dark': 1}, 'SMP(L)': {'post': 4, 'upstream': 4, 'mito': 1, 'dark': 1}, 'INP': {'pre': 1, 'post': 114, 'downstream': 4, 'upstream': 114, 'mito': 48, 'dark': 48}, 'SCL(L)': {'pre': 1, 'post': 17, 'downstream': 4, 'upstream': 17, 'mito': 11, 'dark': 11}, 'ICL(L)': {'post': 97, 'upstream': 97, 'mito': 37, 'dark': 37}, 'VMNP': {'pre': 104, 'post': 107, 'downstream': 771, 'upstream': 107, 'mito': 55, 'dark': 54, 'medium': 1}, 'SPS(L)': {'pre': 1, 'post': 47, 'downstream': 3, 'upstream': 47, 'mito': 14, 'dark': 14}, 'GOR(L)': {'post': 8, 'upstream': 8, 'mito': 9, 'dark': 9}, 'SPS(R)': {'pre': 103, 'post': 49, 'downstream': 768, 'upstream': 49, 'mito': 28, 'dark': 27, 'medium': 1}, 'EPA(L)': {'post': 3, 'upstream': 3, 'mito': 4, 'dark': 4}, 'GC': {'pre': 1, 'downstream': 1, 'mito': 11, 'dark': 11}}",,"['EPA(L)', 'GOR(L)', 'ICL(L)', 'INP', 'SCL(L)', 'SMP(L)', 'SNP(L)', 'SPS(L)', 'SPS(R)', 'VMNP']","['GC', 'INP', 'SCL(L)', 'SPS(L)', 'SPS(R)', 'VMNP']"
1008369339,8,3,2,2,5,5,8,FS1B(FQ9)_C6_R,FS1B,97,717,998,717,93,261903626,Traced,False,Roughly traced,PDM02,301.0,"[22606, 16349, 10032]","{'SNP(L)': {'pre': 43, 'post': 24, 'downstream': 433, 'upstream': 24, 'mito': 12, 'dark': 12}, 'SMP(L)': {'pre': 43, 'post': 24, 'downstream': 433, 'upstream': 24, 'mito': 12, 'dark': 12}, 'CX': {'post': 657, 'upstream': 657, 'mito': 39, 'dark': 38, 'light': 1}, 'FB': {'post': 657, 'upstream': 657, 'mito': 39, 'dark': 38, 'light': 1}, 'FBl6': {'post': 73, 'upstream': 73, 'mito': 3, 'dark': 3}, 'SNP(R)': {'pre': 34, 'post': 27, 'downstream': 351, 'upstream': 27, 'mito': 13, 'dark': 13}, 'SMP(R)': {'pre': 34, 'post': 27, 'downstream': 351, 'upstream': 27, 'mito': 13, 'dark': 13}, 'FBl5': {'post': 339, 'upstream': 339, 'mito': 17, 'dark': 17}, 'INP': {'pre': 19, 'post': 7, 'downstream': 209, 'upstream': 7, 'mito': 6, 'dark': 5, 'medium': 1}, 'CRE(L)': {'pre': 19, 'post': 7, 'downstream': 209, 'upstream': 7, 'mito': 6, 'dark': 5, 'medium': 1}, 'CRE(-RUB)(L)': {'pre': 19, 'post': 7, 'downstream': 209, 'upstream': 7, 'mito': 6, 'dark': 5, 'medium': 1}, 'FBl4': {'post': 39, 'upstream': 39, 'mito': 4, 'dark': 4}, 'FBl3': {'post': 26, 'upstream': 26, 'mito': 5, 'dark': 5}, 'FBl2': {'post': 180, 'upstream': 180, 'mito': 10, 'dark': 9, 'light': 1}}",FB25SMPSMP,"['CRE(-RUB)(L)', 'CRE(L)', 'CX', 'FB', 'FBl2', 'FBl3', 'FBl4', 'FBl5', 'FBl6', 'INP', 'SMP(L)', 'SMP(R)', 'SNP(L)', 'SNP(R)']","['CRE(-RUB)(L)', 'CRE(L)', 'INP', 'SMP(L)', 'SMP(R)', 'SNP(L)', 'SNP(R)']"
1008391068,9,3,2,2,5,5,5,FC2B(FQ7)_C6_L,FC2B,219,2174,1349,2174,125,459251728,Traced,False,Roughly traced,PDM03,325.5,"[29681, 16321, 7328]","{'CX': {'pre': 167, 'post': 2135, 'downstream': 990, 'upstream': 2135, 'mito': 93, 'dark': 80, 'light': 3, 'medium': 10}, 'FB': {'pre': 167, 'post': 2135, 'downstream': 990, 'upstream': 2135, 'mito': 93, 'dark': 80, 'light': 3, 'medium': 10}, 'FBl6': {'pre': 2, 'post': 420, 'downstream': 11, 'upstream': 420, 'mito': 8, 'dark': 7, 'light': 1}, 'FBl5': {'pre': 139, 'post': 1068, 'downstream': 842, 'upstream': 1068, 'mito': 62, 'dark': 57, 'light': 2, 'medium': 3}, 'mALT(L)': {'post': 1, 'upstream': 1}, 'FBl4': {'pre': 9, 'post': 247, 'downstream': 50, 'upstream': 247, 'mito': 6, 'dark': 4, 'medium': 2}, 'INP': {'pre': 48, 'post': 35, 'downstream': 329, 'upstream': 35, 'mito': 15, 'dark': 14, 'light': 1}, 'CRE(R)': {'pre': 48, 'post': 35, 'downstream': 329, 'upstream': 35, 'mito': 15, 'dark': 14, 'light': 1}, 'CRE(-ROB,-RUB)(R)': {'pre': 48, 'post': 35, 'downstream': 329, 'upstream': 35, 'mito': 15, 'dark': 14, 'light': 1}, 'FBl3': {'pre': 8, 'post': 147, 'downstream': 37, 'upstream': 147, 'mito': 3, 'dark': 3}, 'LX(R)': {'pre': 4, 'post': 2, 'downstream': 30, 'upstream': 2}, 'LAL(R)': {'pre': 4, 'post': 2, 'downstream': 30, 'upstream': 2}, 'LAL(-GA)(R)': {'pre': 4, 'post': 2, 'downstream': 30, 'upstream': 2}, 'FBl2': {'pre': 6, 'post': 163, 'downstream': 32, 'upstream': 163, 'mito': 9, 'dark': 5, 'medium': 4}, 'FBl1': {'pre': 3, 'post': 90, 'downstream': 18, 'upstream': 90, 'mito': 4, 'dark': 3, 'medium': 1}}",FB1d356CRE,"['CRE(-ROB,-RUB)(R)', 'CRE(R)', 'CX', 'FB', 'FBl1', 'FBl2', 'FBl3', 'FBl4', 'FBl5', 'FBl6', 'INP', 'LAL(-GA)(R)', 'LAL(R)', 'LX(R)', 'mALT(L)']","['CRE(-ROB,-RUB)(R)', 'CRE(R)', 'CX', 'FB', 'FBl1', 'FBl2', 'FBl3', 'FBl4', 'FBl5', 'FBl6', 'INP', 'LAL(-GA)(R)', 'LAL(R)', 'LX(R)']"
1008693605,10,3,2,2,5,5,9,FC2C(FQ7)_C7_L,FC2C,126,1088,788,1088,101,261049840,Traced,False,Roughly traced,PDM03,291.0,"[32830, 14210, 12336]","{'CX': {'pre': 91, 'post': 1051, 'downstream': 544, 'upstream': 1051, 'mito': 67, 'dark': 64, 'light': 1, 'medium': 2}, 'FB': {'pre': 91, 'post': 1051, 'downstream': 544, 'upstream': 1051, 'mito': 66, 'dark': 63, 'light': 1, 'medium': 2}, 'FBl7': {'pre': 4, 'post': 272, 'downstream': 19, 'upstream': 272, 'mito': 12, 'dark': 12}, 'FBl6': {'pre': 17, 'post': 375, 'downstream': 103, 'upstream': 375, 'mito': 16, 'dark': 15, 'medium': 1}, 'FBl8': {'post': 91, 'upstream': 91, 'mito': 1, 'dark': 1}, 'SNP(R)': {'pre': 14, 'post': 17, 'downstream': 101, 'upstream': 17, 'mito': 7, 'dark': 7}, 'SMP(R)': {'pre': 14, 'post': 17, 'downstream': 101, 'upstream': 17, 'mito': 7, 'dark': 7}, 'FBl5': {'pre': 56, 'post': 89, 'downstream': 347, 'upstream': 89, 'mito': 23, 'dark': 21, 'light': 1, 'medium': 1}, 'INP': {'pre': 19, 'post': 17, 'downstream': 126, 'upstream': 17, 'mito': 5, 'dark': 5}, 'CRE(R)': {'pre': 19, 'post': 17, 'downstream': 126, 'upstream': 17, 'mito': 5, 'dark': 5}, 'CRE(-ROB,-RUB)(R)': {'pre': 19, 'post': 17, 'downstream': 126, 'upstream': 17, 'mito': 5, 'dark': 5}, 'mALT(L)': {'post': 1, 'upstream': 1}, 'FBl4': {'pre': 2, 'post': 9, 'downstream': 9, 'upstream': 9, 'mito': 2, 'dark': 2}, 'FBl3': {'pre': 4, 'post': 52, 'downstream': 20, 'upstream': 52, 'mito': 3, 'dark': 3}, 'LX(R)': {'pre': 2, 'downstream': 17, 'mito': 1, 'dark': 1}, 'LAL(R)': {'pre': 2, 'downstream': 17, 'mito': 1, 'dark': 1}, 'LAL(-GA)(R)': {'pre': 2, 'downstream': 17, 'mito': 1, 'dark': 1}, 'FBl2': {'pre': 6, 'post': 71, 'downstream': 39, 'upstream': 71, 'mito': 7, 'dark': 7}, 'FBl1': {'pre': 2, 'post': 92, 'downstream': 7, 'upstream': 92, 'mito': 2, 'dark': 2}}",FB1d367CRE,"['CRE(-ROB,-RUB)(R)', 'CRE(R)', 'CX', 'FB', 'FBl1', 'FBl2', 'FBl3', 'FBl4', 'FBl5', 'FBl6', 'FBl7', 'FBl8', 'INP', 'SMP(R)', 'SNP(R)', 'mALT(L)']","['CRE(-ROB,-RUB)(R)', 'CRE(R)', 'CX', 'FB', 'FBl1', 'FBl2', 'FBl3', 'FBl4', 'FBl5', 'FBl6', 'FBl7', 'INP', 'LAL(-GA)(R)', 'LAL(R)', 'LX(R)', 'SMP(R)', 'SNP(R)']"
