,node1,node2,total_weight
0,1,63,1
1,1,161,1
2,1,226,1
3,1,281,1
4,1,331,3
5,1,345,2
6,1,389,1
7,1,399,2
8,1,655,2
9,1,770,1
10,1,790,1
11,1,810,1
12,1,840,1
13,1,910,2
14,1,913,2
15,1,989,1
16,1,1040,2
17,1,1055,5
18,1,1330,1
19,1,1353,1
20,1,1411,2
21,1,1435,1
22,1,1436,1
23,1,1460,1
24,1,1518,2
25,1,1546,1
26,1,1659,1
27,1,1750,2
28,1,1802,1
29,1,1961,6
30,1,1967,1
31,1,2040,1
32,1,2057,2
33,1,2114,1
34,1,2145,1
35,1,2199,2
36,1,2205,4
37,1,2219,4
38,1,2223,1
39,1,2244,3
40,1,2433,3
41,2,3,4
42,2,48,8
43,2,53,1
44,2,54,1
45,2,55,10
46,2,56,2
47,2,67,1
48,2,131,1
49,2,132,1
50,2,154,6
51,2,173,3
52,2,190,1
53,2,206,1
54,2,216,1
55,2,217,1
56,2,218,2
57,2,221,2
58,2,222,1
59,2,226,1
60,2,243,3
61,2,257,1
62,2,259,6
63,2,273,2
64,2,288,3
65,2,290,1
66,2,301,1
67,2,317,2
68,2,332,2
69,2,338,2
70,2,345,8
71,2,366,1
72,2,367,1
73,2,387,2
74,2,408,2
75,2,438,1
76,2,698,1
77,2,766,1
78,2,810,1
79,2,812,1
80,2,856,57
81,2,880,1
82,2,913,2
83,2,914,19
84,2,923,7
85,2,987,1
86,2,989,1
87,2,1031,1
88,2,1040,2
89,2,1052,1
90,2,1055,3
91,2,1061,5
92,2,1096,1
93,2,1098,3
94,2,1112,5
95,2,1151,1
96,2,1183,2
97,2,1194,4
98,2,1198,2
99,2,1259,1
100,2,1280,1
101,2,1289,1
102,2,1316,2
103,2,1321,1
104,2,1324,3
105,2,1354,1
106,2,1356,1
107,2,1362,1
108,2,1403,3
109,2,1404,5
110,2,1407,2
111,2,1415,1
112,2,1511,1
113,2,1523,2
114,2,1546,36
115,2,1591,1
116,2,1622,2
117,2,1708,1
118,2,1709,1
119,2,1724,1
120,2,1742,1
121,2,1763,2
122,2,1802,2
123,2,1806,1
124,2,1869,1
125,2,1871,7
126,2,1908,10
127,2,1918,1
128,2,2002,2
129,2,2011,2
130,2,2014,1
131,2,2021,4
132,2,2028,1
133,2,2045,1
134,2,2051,1
135,2,2064,2
136,2,2066,1
137,2,2067,1
138,2,2070,1
139,2,2089,2
140,2,2135,1
141,2,2141,1
142,2,2146,2
143,2,2156,1
144,2,2184,3
145,2,2214,4
146,2,2267,1
147,2,2268,3
148,2,2272,1
149,2,2318,1
150,2,2373,19
151,2,2377,1
152,2,2379,1
153,2,2388,2
154,2,2427,1
155,2,2434,1
156,2,2460,2
157,2,2472,4
158,2,2475,1
159,2,2484,1
160,3,11,1
161,3,99,2
162,3,212,1
163,3,246,1
164,3,290,1
165,3,300,2
166,3,856,1
167,3,944,2
168,3,1161,1
169,3,1193,1
170,3,1321,1
171,3,1348,1
172,3,1364,1
173,3,1724,16
174,3,1754,2
175,3,1908,4
176,3,2064,1
177,3,2089,1
178,3,2146,3
179,3,2210,1
180,3,2377,1
181,3,2380,1
182,3,2434,1
183,3,2471,3
184,4,12,1
185,4,57,2
186,4,102,1
187,4,212,2
188,4,247,1
189,4,290,1
190,4,338,2
191,4,345,1
192,4,363,1
193,4,655,2
194,4,671,1
195,4,1055,7
196,4,1096,1
197,4,1411,1
198,4,1423,1
199,4,1474,1
200,4,1784,1
201,4,2062,1
202,4,2065,1
203,4,2273,1
204,4,2380,2
205,4,2433,3
206,4,2434,1
207,5,9,12
208,5,10,1
209,5,13,7
210,5,14,2
211,5,17,3
212,5,27,6
213,5,29,1
214,5,30,1
215,5,31,7
216,5,32,3
217,5,33,2
218,5,34,4
219,5,35,6
220,5,38,2
221,5,50,1
222,5,58,8
223,5,59,2
224,5,60,3
225,5,61,2
226,5,62,7
227,5,65,3
228,5,71,1
229,5,75,15
230,5,76,4
231,5,77,4
232,5,82,1
233,5,87,2
234,5,100,1
235,5,101,9
236,5,103,19
237,5,104,3
238,5,105,2
239,5,107,3
240,5,109,2
241,5,110,4
242,5,114,13
243,5,121,2
244,5,122,3
245,5,134,2
246,5,136,1
247,5,138,6
248,5,139,2
249,5,141,2
250,5,156,12
251,5,159,1
252,5,162,5
253,5,166,5
254,5,168,2
255,5,171,17
256,5,191,24
257,5,192,16
258,5,193,4
259,5,194,1
260,5,207,4
261,5,208,10
262,5,209,6
263,5,227,4
264,5,234,14
265,5,249,6
266,5,250,8
267,5,256,2
268,5,260,10
269,5,261,3
270,5,272,5
271,5,274,20
272,5,313,2
273,5,354,4
274,5,358,2
275,5,366,1
276,5,570,1
277,5,578,2
278,5,599,10
279,5,603,1
280,5,623,1
281,5,634,1
282,5,639,4
283,5,646,1
284,5,663,5
285,5,678,1
286,5,679,9
287,5,680,4
288,5,684,10
289,5,689,3
290,5,694,2
291,5,712,1
292,5,713,1
293,5,716,1
294,5,726,2
295,5,730,1
296,5,732,1
297,5,740,1
298,5,741,3
299,5,753,1
300,5,760,2
301,5,761,1
302,5,782,18
303,5,783,1
304,5,787,2
305,5,788,1
306,5,791,8
307,5,792,2
308,5,793,1
309,5,798,1
310,5,802,5
311,5,812,2
312,5,841,3
313,5,855,11
314,5,879,1
315,5,885,2
316,5,898,5
317,5,914,2
318,5,918,1
319,5,935,1
320,5,938,2
321,5,941,1
322,5,942,2
323,5,956,1
324,5,959,1
325,5,962,1
326,5,963,2
327,5,966,1
328,5,973,2
329,5,980,1
330,5,982,1
331,5,1036,3
332,5,1046,1
333,5,1054,4
334,5,1060,1
335,5,1062,1
336,5,1064,3
337,5,1065,1
338,5,1066,2
339,5,1070,3
340,5,1083,1
341,5,1111,2
342,5,1112,1
343,5,1130,5
344,5,1137,5
345,5,1145,2
346,5,1150,2
347,5,1154,6
348,5,1166,9
349,5,1168,1
350,5,1174,23
351,5,1188,3
352,5,1209,1
353,5,1214,1
354,5,1237,2
355,5,1251,2
356,5,1254,3
357,5,1261,1
358,5,1262,1
359,5,1266,1
360,5,1271,5
361,5,1277,1
362,5,1284,1
363,5,1286,5
364,5,1291,2
365,5,1299,1
366,5,1301,2
367,5,1308,3
368,5,1317,1
369,5,1318,1
370,5,1330,1
371,5,1341,3
372,5,1353,1
373,5,1357,1
374,5,1364,1
375,5,1370,17
376,5,1372,1
377,5,1376,1
378,5,1385,2
379,5,1386,13
380,5,1392,16
381,5,1400,2
382,5,1401,1
383,5,1405,9
384,5,1410,1
385,5,1418,3
386,5,1431,1
387,5,1444,1
388,5,1451,2
389,5,1455,12
390,5,1459,1
391,5,1460,6
392,5,1462,1
393,5,1481,2
394,5,1483,1
395,5,1486,14
396,5,1487,1
397,5,1497,2
398,5,1536,1
399,5,1571,1
400,5,1573,4
401,5,1576,1
402,5,1578,1
403,5,1588,2
404,5,1597,9
405,5,1603,1
406,5,1607,1
407,5,1613,1
408,5,1631,1
409,5,1633,1
410,5,1637,1
411,5,1639,8
412,5,1644,1
413,5,1645,1
414,5,1648,7
415,5,1660,1
416,5,1662,2
417,5,1667,8
418,5,1686,3
419,5,1690,4
420,5,1722,3
421,5,1742,1
422,5,1750,2
423,5,1755,4
424,5,1756,6
425,5,1763,1
426,5,1788,3
427,5,1793,1
428,5,1796,1
429,5,1798,1
430,5,1807,3
431,5,1843,1
432,5,1930,1
433,5,1941,1
434,5,1942,2
435,5,1952,14
436,5,1961,2
437,5,1976,2
438,5,1980,1
439,5,1983,2
440,5,2010,2
441,5,2017,3
442,5,2021,1
443,5,2037,5
444,5,2043,1
445,5,2045,1
446,5,2063,1
447,5,2065,5
448,5,2080,2
449,5,2107,1
450,5,2109,1
451,5,2115,1
452,5,2118,2
453,5,2125,3
454,5,2134,2
455,5,2135,1
456,5,2136,2
457,5,2138,1
458,5,2143,2
459,5,2147,8
460,5,2159,1
461,5,2162,2
462,5,2178,2
463,5,2182,2
464,5,2191,1
465,5,2192,1
466,5,2211,1
467,5,2226,2
468,5,2250,3
469,5,2256,1
470,5,2257,2
471,5,2279,1
472,5,2287,1
473,5,2292,1
474,5,2296,2
475,5,2315,15
476,5,2316,6
477,5,2325,5
478,5,2326,5
479,5,2327,1
480,5,2340,6
481,5,2342,4
482,5,2345,1
483,5,2357,2
484,5,2358,2
485,5,2370,4
486,5,2371,5
487,5,2378,7
488,5,2382,3
489,5,2387,5
490,5,2394,1
491,5,2401,10
492,5,2402,4
493,5,2412,1
494,5,2413,1
495,5,2425,7
496,5,2429,1
497,5,2430,2
498,5,2447,8
499,5,2460,1
500,5,2466,4
501,5,2467,1
502,5,2468,17
503,5,2469,18
504,5,2470,3
505,5,2473,6
506,5,2476,4
507,5,2485,1
508,5,2488,2
509,5,2489,4
510,5,2491,14
511,5,2492,7
512,5,2496,2
513,5,2497,1
514,5,2498,1
515,5,2499,1
516,5,2500,1
517,5,2510,2
518,5,2511,1
519,6,55,1
520,6,97,1
521,6,132,4
522,6,180,1
523,6,204,2
524,6,206,1
525,6,217,3
526,6,218,1
527,6,219,1
528,6,221,1
529,6,246,1
530,6,290,5
531,6,345,4
532,6,923,1
533,6,1151,1
534,6,1186,1
535,6,1193,1
536,6,1299,2
537,6,1407,2
538,6,1432,2
539,6,1466,2
540,6,1470,3
541,6,1564,1
542,6,1622,2
543,6,1724,2
544,6,1885,2
545,6,1901,1
546,6,1908,1
547,6,1918,2
548,6,1991,1
549,6,1998,1
550,6,2045,1
551,6,2064,1
552,6,2089,1
553,6,2272,1
554,6,2433,3
555,7,111,1
556,7,188,3
557,7,280,1
558,7,341,1
559,7,345,17
560,7,357,47
561,7,395,3
562,7,417,1
563,7,418,1
564,7,454,1
565,7,655,6
566,7,671,1
567,7,1055,13
568,7,1511,1
569,7,2135,2
570,8,9,4
571,8,10,1
572,8,34,1
573,8,38,3
574,8,39,1
575,8,40,2
576,8,59,6
577,8,61,8
578,8,64,2
579,8,74,3
580,8,83,3
581,8,101,4
582,8,105,1
583,8,114,9
584,8,122,1
585,8,135,4
586,8,155,1
587,8,157,1
588,8,159,1
589,8,164,2
590,8,225,4
591,8,261,2
592,8,270,1
593,8,593,1
594,8,599,4
595,8,620,1
596,8,678,2
597,8,684,1
598,8,694,1
599,8,695,2
600,8,792,1
601,8,793,4
602,8,822,1
603,8,894,4
604,8,898,3
605,8,900,2
606,8,908,7
607,8,938,7
608,8,962,2
609,8,975,3
610,8,1003,4
611,8,1034,1
612,8,1053,2
613,8,1066,1
614,8,1113,2
615,8,1118,1
616,8,1130,2
617,8,1138,3
618,8,1141,1
619,8,1145,1
620,8,1161,1
621,8,1250,8
622,8,1251,7
623,8,1253,1
624,8,1254,1
625,8,1286,3
626,8,1317,1
627,8,1335,2
628,8,1388,4
629,8,1410,6
630,8,1412,4
631,8,1442,4
632,8,1460,1
633,8,1489,7
634,8,1564,5
635,8,1565,1
636,8,1573,4
637,8,1626,6
638,8,1644,1
639,8,1686,3
640,8,1690,3
641,8,1696,1
642,8,1705,4
643,8,1768,8
644,8,1795,1
645,8,1851,1
646,8,1854,4
647,8,1891,2
648,8,1894,7
649,8,1905,2
650,8,1952,8
651,8,1994,7
652,8,2008,1
653,8,2032,1
654,8,2034,4
655,8,2035,1
656,8,2078,1
657,8,2179,3
658,8,2236,2
659,8,2241,1
660,8,2266,1
661,8,2287,3
662,8,2315,2
663,8,2326,5
664,8,2327,3
665,8,2335,1
666,8,2342,3
667,8,2371,1
668,8,2386,3
669,8,2435,2
670,8,2437,4
671,8,2438,5
672,8,2467,1
673,8,2470,3
674,8,2473,1
675,8,2485,1
676,8,2488,1
677,8,2490,2
678,8,2496,2
679,8,2511,1
680,9,22,1
681,9,25,1
682,9,48,1
683,9,59,26
684,9,60,3
685,9,61,12
686,9,62,2
687,9,65,1
688,9,73,7
689,9,75,14
690,9,83,7
691,9,103,3
692,9,105,29
693,9,107,3
694,9,113,1
695,9,114,1
696,9,123,2
697,9,129,1
698,9,133,2
699,9,136,1
700,9,143,4
701,9,155,5
702,9,157,1
703,9,159,13
704,9,162,1
705,9,170,4
706,9,173,3
707,9,191,2
708,9,210,2
709,9,241,1
710,9,248,3
711,9,249,3
712,9,262,1
713,9,274,1
714,9,645,1
715,9,678,1
716,9,684,3
717,9,689,1
718,9,753,1
719,9,794,1
720,9,879,2
721,9,898,17
722,9,900,1
723,9,914,1
724,9,938,1
725,9,975,18
726,9,982,2
727,9,994,1
728,9,1108,12
729,9,1130,2
730,9,1135,4
731,9,1166,3
732,9,1174,2
733,9,1223,15
734,9,1250,5
735,9,1279,5
736,9,1286,5
737,9,1305,1
738,9,1341,7
739,9,1400,7
740,9,1405,3
741,9,1410,11
742,9,1418,2
743,9,1442,5
744,9,1455,2
745,9,1573,3
746,9,1588,1
747,9,1626,2
748,9,1686,2
749,9,1690,23
750,9,1706,1
751,9,1763,6
752,9,1768,3
753,9,1854,1
754,9,1895,1
755,9,1952,15
756,9,1958,1
757,9,1994,4
758,9,2034,1
759,9,2043,1
760,9,2134,25
761,9,2136,2
762,9,2236,2
763,9,2260,1
764,9,2315,1
765,9,2316,3
766,9,2325,5
767,9,2326,1
768,9,2330,1
769,9,2342,16
770,9,2357,2
771,9,2370,3
772,9,2382,3
773,9,2386,4
774,9,2387,4
775,9,2447,11
776,9,2460,1
777,9,2466,1
778,9,2468,6
779,9,2470,3
780,9,2473,12
781,9,2486,1
782,9,2491,13
783,9,2498,2
784,10,17,4
785,10,48,1
786,10,50,3
787,10,58,1
788,10,75,3
789,10,107,5
790,10,109,1
791,10,115,1
792,10,116,1
