type_pre,bodyId_pre,weight,neurotransmitter
FS1A,"[983426636, 1045268099, 1044918145, 1138026774, 951808062, 1014474192, 1230095228, 5813022923, 983093876, 1106888382, 1195891557, 1345061120, 5813016900, 885257938, 915273417, 5813022923, 1045141938, 1045141938, 1075611602, 983430664, 1291374677, 890425079, 1014465452, 1039063931, 1044918145, 1195891557, 5813130366, 890425079, 915964748, 940791248, 1039063931, 1165305889, 1014223948, 1014465588, 1014465588, 1014474192, 1071769518, 1138026774, 915273417, 915964748, 1071496918, 5813065365, 885257938, 940791248, 976994022, 977697611, 983426636, 1014461486, 1039085109, 1039426238, 1106888382, 1136252170, 1291374677, 983430664, 1014102651, 1014223948, 1039426238, 1044800536, 1136252170, 1165305889, 977697611, 5813016900, 5813065365, 1039085109, 1075611602, 5813130366, 983067799, 1014461486, 1014465452, 1014465666, 1071496918, 951808062, 976994022, 1323454861, 1102804327, 1014465666, 1045268099, 1345061120, 946308462, 946308462, 983093876, 1102804327, 1323454861, 1044800536, 1014102651, 1071769518, 1230095228, 983067799]",1589,ACH
SMP052,"[635908014, 576574889, 583132200, 546641039, 546641039, 635908014, 583132200, 576574889]",614,ACH
IB017,"[5813022375, 5813053712, 5813053712, 5813022375]",562,ACH
SMP176,"[611015907, 643156727, 611015907, 643156727]",544,ACH
SMP383,"[636944318, 577330676, 636944318, 577330676]",543,ACH
SMP550,"[452689494, 579700707, 579700707, 452689494]",445,ACH
FC2B,"[915623395, 912583959, 1291142212, 977352235, 1134849078, 1570111396, 977339225, 1008391068, 1009371535, 5813081864, 1070422316, 1164545788, 1041071176, 1257629175, 5813058388, 5813016287, 1133925083, 915951605, 5813033535, 5813057464, 884921015, 1195999722, 881220948, 1196573432, 1196573821, 977335129, 1009375497, 1033192275, 1039775880, 1260011966, 1041139886, 386280932, 1039392337]",435,ACH
SMP544,"[5813087891, 5813080768, 5813087891, 5813080768]",358,GABA
LAL134,"[1598011458, 5813078571, 5813078571]",358,ACH
SMP237,"[548722538, 542376096, 548722538, 542376096]",337,ACH
SMP386,"[790405385, 5813109327, 5813109327, 790405385]",296,ACH
SMP551,"[328274638, 328274638, 392757094, 392757094]",293,ACH
