bodyId_pre,bodyId_post,weight,neurotransmitter
SMP550,"[452689494, 579700707, 579700707, 452689494]",669,ACH
SMP254,"[5813069497, 762037782]",477,
SMP507,"[5813021005, 581790318]",474,ACH
SMP198,"[5813021602, 5813021602, 546312597, 546312597]",468,GLUT
CRE077,"[611629428, 672192070, 611629428, 672192070]",461,ACH
SMP199,"[361005850, 547002880, 361005850, 547002880]",420,ACH
CRE022,"[5813083779, 5813062838, 5813083779, 5813062838]",409,GLUT
SMP386,"[5813109327, 790405385, 5813109327, 790405385]",386,ACH
SLP212,"[5901203505, 5901203505, 5813055769, 5812980529, 5813055769, 5812980529, 519004170, 359931311, 519004170, 359931311]",381,ACH
SMP272,"[393063351, 5901232053, 5901232053, 393063351]",371,ACH
SMP079,"[5813026661, 454896445, 5813026661, 454896445]",364,GABA
SMP237,"[542376096, 548722538, 542376096, 548722538]",354,ACH
SMP184,"[388954086, 234630133, 388954086, 234630133]",336,ACH
IB017,"[5813022375, 5813053712, 5813053712, 5813022375]",323,ACH
pC1c,"[550319575, 267551639, 550319575, 267551639]",320,ACH
SMP376,"[5813027592, 604289581, 5813027592, 604289581]",307,GLUT
SMP154,"[550404663, 5813089157, 5813089157, 550404663]",305,
SMP077,"[486194398, 486194398, 5813019833, 5813019833]",299,GABA
SMP471,"[550988122, 580732172, 550988122, 580732172]",291,ACH
MBON04,"[613079053, 487925063, 613079053, 487925063]",287,GLUT
SMP177,"[422751191, 485585976, 422751191, 485585976]",275,ACH
FC2C,"[885253534, 1071760480, 1076185604, 1103577592, 1198049989, 1035393986, 5813103626, 633541960, 1134849005, 858047578, 916296656, 1135294306, 885262090, 1072779298, 1008693462, 885262118, 1008693605, 1166674437, 947685653, 1076285102, 915605802, 793128475, 817678848, 885262118, 1010437434, 1164187272, 1166890100, 978681977, 1104155212, 5813041610, 916296860, 978345784, 1072533704, 5813058518, 5813129271, 793128475, 915946994, 947681574, 1072533704, 5813129271, 915605802, 1008693605, 5812986472, 916296860, 1008693462, 1076285102, 885262090, 947681574, 978681977, 947685653, 1010437434, 1134849005, 1071760480]",275,ACH
SMP007,"[423096449, 642509080, 483797945, 576898212, 642509080, 423096449, 576898212, 483797945]",272,
FB5Z,"[977006924, 642365841, 642365841, 915615021, 977006924, 977339390, 915615021, 977339390]",266,GLUT
LAL022,"[703196977, 730006122, 669649730, 735488299, 669649730, 700486220, 735488299, 730497472, 730006122, 703196977, 700486220, 730497472]",260,ACH
SMP362,"[296531366, 326884331, 638394209, 326884331, 638394209, 296531366]",257,
SMP541,"[510049477, 577709776, 510049477, 577709776]",254,GLUT
