,bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post,type_pre,type_post
0,423101189,298266660,SMP(R),SMP(R),20302,24530,8542,20327,24510,8524,0.872,0.591881,,
1,423101189,298266660,SMP(R),SMP(R),20420,24554,8882,20403,24561,8892,0.881,0.912094,,
2,423101189,298266660,SMP(R),SMP(R),20637,25421,10073,20611,25404,10069,0.912,0.666346,,
3,423101189,298266660,SMP(R),SMP(R),20641,25600,9986,20637,25618,9965,0.942,0.868704,,
4,423101189,298266660,SMP(R),SMP(R),20665,25438,10132,20655,25417,10142,0.821,0.955275,,
5,423101189,298266660,SMP(R),SMP(R),20022,28140,9389,20042,28150,9415,0.83,0.689456,,
6,423101189,298266660,SMP(R),SMP(R),20288,24418,8575,20309,24404,8564,0.825,0.988,,
7,423101189,298266660,SMP(R),SMP(R),20312,24424,8515,20325,24420,8525,0.88,1.0,,
8,423101189,298266660,SMP(R),SMP(R),19810,26219,8442,19808,26237,8465,0.862,0.678,,
9,423101189,298266660,SMP(R),SMP(R),20727,24576,9017,20727,24595,9017,0.973,0.919372,,
10,423101189,298266660,SMP(R),SMP(R),19456,25963,9079,19456,25984,9102,0.915,0.712295,,
11,423101189,298266660,SMP(R),SMP(R),19372,26032,9134,19412,26024,9126,0.921,0.406205,,
12,423101189,298266660,SMP(R),SMP(R),18932,24915,7941,18944,24889,7951,0.828,0.821747,,
13,423101189,298266660,SMP(R),SMP(R),20808,25984,9785,20792,25990,9791,0.838,0.973907,,
14,423101189,296535655,SMP(R),SMP(R),19792,20880,11612,19780,20886,11627,0.841,0.945023,,SMP365
15,423101189,296535655,SMP(R),SMP(R),19971,21218,10770,19957,21211,10762,0.878,0.651,,SMP365
16,423101189,296535655,SMP(R),SMP(R),21660,24570,9761,21669,24588,9755,0.876,0.981311,,SMP365
17,423101189,296535655,SMP(R),SMP(R),20824,24319,9736,20806,24308,9748,0.807,0.983,,SMP365
18,423101189,296535655,SMP(R),SMP(R),21555,24604,9742,21560,24621,9742,0.887,0.674766,,SMP365
19,423101189,296535655,SMP(R),SMP(R),20239,22813,10749,20222,22802,10753,0.922,0.954967,,SMP365
20,423101189,296535655,SMP(R),SMP(R),20166,23448,9674,20147,23474,9669,0.886,0.979338,,SMP365
21,423101189,296358430,SMP(L),SMP(L),27633,28468,14705,27604,28460,14712,0.913,0.712628,,
22,423101189,296358430,SMP(L),SMP(L),27032,28016,11822,27012,28036,11847,0.943,0.635813,,
23,423101189,296358430,SMP(L),SMP(L),27624,28373,14744,27618,28369,14731,0.941,0.922964,,
24,423101189,296358430,SMP(L),SMP(L),27078,28038,11941,27066,28029,11950,0.753,0.851,,
25,423101189,296358430,SMP(L),SMP(L),27508,25858,11540,27492,25853,11544,0.933,0.842027,,
26,423101189,296358430,SMP(L),SMP(L),27491,25909,11456,27495,25900,11474,0.893,0.990431,,
27,423101189,298262408,SMP(R),SMP(R),19666,29026,8540,19655,29023,8549,0.878,0.991044,,
28,423101189,298262408,SMP(R),SMP(R),21258,27610,7639,21244,27602,7647,0.949,0.995359,,
29,423101189,298262408,SMP(R),SMP(R),20231,22268,10054,20225,22276,10069,0.862,0.995073,,
30,423101189,298262408,SMP(R),SMP(R),19606,28859,8536,19623,28859,8540,0.857,0.93947,,
31,423101189,296139882,SMP(R),SMP(R),19637,28399,8405,19666,28423,8395,0.88,0.470739,,SMP076
32,423101189,297925526,SMP(R),SMP(R),20979,30021,9888,20987,30011,9876,0.83,0.989,,
33,423101189,297925526,SMP(R),SMP(R),20975,28602,8676,20982,28597,8704,0.909,0.7233,,
34,423101189,297925526,SMP(R),SMP(R),20889,28928,8335,20877,28907,8303,0.851,0.453,,
35,423101189,297925526,SMP(R),SMP(R),20890,28883,8324,20881,28880,8309,0.848,0.999441,,
36,423101189,297925526,SMP(R),SMP(R),20919,28558,8733,20951,28535,8741,0.9,0.498997,,
37,423101189,264014957,SMP(R),SMP(R),17758,32751,11922,17756,32736,11928,0.97,0.988534,,LHPD2a5_a
38,423101189,264014957,SMP(R),SMP(R),19909,33046,11975,19926,33015,11971,0.964,0.652277,,LHPD2a5_a
39,423101189,264014957,SIP(R),SIP(R),17548,30746,10725,17547,30773,10732,0.942,0.798174,,LHPD2a5_a
