,bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post,type_pre,type_post
0,989228019,423101189,CRE(R),CRE(R),22857,34611,17485,22825,34624,17464,0.998,0.633171,FB5V,
1,988909130,423101189,CRE(R),CRE(R),19523,31096,21707,19509,31112,21693,0.969,0.52884,FB5V,
2,988567837,423101189,LAL(R),LAL(R),23100,27659,23824,23074,27659,23801,0.97,0.45944607,FB4G,
3,987842109,423101189,SMP(R),SMP(R),19041,33090,14598,19047,33072,14598,0.973,0.974019,,
4,987273073,423101189,CRE(R),CRE(R),19347,27826,15348,19351,27806,15376,0.943,0.595921,,
5,987117151,423101189,LAL(R),LAL(R),19040,26341,22369,19033,26342,22353,0.937,0.960607,LAL010,
6,987117151,423101189,CRE(R),CRE(R),17817,27115,16913,17828,27098,16913,0.986,0.817472,LAL010,
7,987117151,423101189,LAL(R),LAL(R),17197,30694,23405,17209,30705,23429,0.997,0.511778,LAL010,
8,987117151,423101189,LAL(R),LAL(R),20298,28066,21622,20292,28096,21640,0.995,0.650569,LAL010,
9,987117151,423101189,CRE(R),CRE(R),19002,28652,20213,19021,28642,20191,0.901,0.697263,LAL010,
10,987117151,423101189,CRE(R),CRE(R),20750,31548,22035,20779,31555,22070,0.956,0.58918,LAL010,
11,987117151,423101189,CRE(R),CRE(R),17628,30480,20917,17627,30493,20921,0.788,0.861,LAL010,
12,987117151,423101189,CRE(R),CRE(R),20760,31593,22095,20764,31571,22104,0.938,0.826328,LAL010,
13,987117151,423101189,CRE(R),CRE(R),20132,33605,21721,20138,33622,21721,0.9,0.965,LAL010,
14,987117151,423101189,CRE(R),CRE(R),19082,31067,22259,19098,31051,22255,0.986,0.957269,LAL010,
15,987117151,423101189,LAL(R),LAL(R),16990,30533,22552,16972,30534,22547,0.992,0.859537,LAL010,
16,987117151,423101189,CRE(R),CRE(R),18146,29746,21305,18147,29730,21311,0.962,0.779602,LAL010,
17,987117151,423101189,CRE(R),CRE(R),19866,29701,21279,19855,29727,21278,0.953,0.631419,LAL010,
18,987117151,423101189,LAL(R),LAL(R),17196,30688,23323,17185,30699,23308,0.967,0.998011,LAL010,
19,986974738,423101189,VES(R),VES(R),22771,24430,28748,22765,24416,28738,0.607,0.821,CRE010,
20,986098785,423101189,SIP(R),SIP(R),14247,32099,13119,14271,32099,13138,0.991,0.644734,AOTU008_a,
21,986089634,423101189,LAL(R),LAL(R),19137,29157,23608,19165,29151,23619,0.984,0.46015704,AOTU003,
22,985839488,423101189,SMP(R),SMP(R),23569,30353,14527,23561,30379,14518,0.978,0.82985,,
23,985510931,423101189,SMP(R),SMP(R),24153,30027,13769,24168,30034,13759,0.822,0.92855,,
24,984833702,423101189,SMP(R),SMP(R),24023,31339,13390,24040,31342,13385,0.832,0.817,,
25,984833702,423101189,SMP(R),SMP(R),23513,29880,13373,23516,29846,13364,0.98,0.990973,,
26,984833702,423101189,SMP(R),SMP(R),22447,27049,13278,22463,27061,13279,0.992,0.968914,,
27,984799284,423101189,CRE(R),CRE(R),21394,35819,19895,21394,35836,19899,0.622,1.0,CRE060,
28,984536209,423101189,LAL(R),LAL(R),18810,29152,23916,18810,29126,23916,0.965,0.859759,LAL100,
29,984536209,423101189,LAL(R),LAL(R),19099,27311,21457,19086,27293,21459,0.969,0.950615,LAL100,
30,984536209,423101189,LAL(R),LAL(R),19173,27278,21498,19195,27262,21487,0.95,0.46164948,LAL100,
31,984536209,423101189,CRE(R),CRE(R),21899,35424,15535,21907,35430,15519,0.624,0.965,LAL100,
32,984536209,423101189,LAL(R),LAL(R),20249,30067,23201,20260,30068,23226,0.938,0.988539,LAL100,
33,984536209,423101189,LAL(R),LAL(R),17871,30302,22550,17865,30303,22529,0.962,0.9724,LAL100,
34,984536209,423101189,CRE(R),CRE(R),21392,32609,21455,21374,32588,21436,0.854,0.926035,LAL100,
35,984536209,423101189,LAL(R),LAL(R),17933,30270,22551,17926,30272,22530,0.985,0.964821,LAL100,
36,984536209,423101189,CRE(R),CRE(R),20151,32373,23075,20158,32373,23051,0.871,0.939493,LAL100,
37,984536209,423101189,LAL(R),LAL(R),16768,30585,23110,16812,30575,23105,0.988,0.46966964,LAL100,
38,984536209,423101189,CRE(R),CRE(R),19525,29499,21145,19540,29483,21138,0.988,0.995337,LAL100,
39,984536209,423101189,CRE(R),CRE(R),20020,32222,22431,20045,32234,22428,0.977,0.855806,LAL100,
40,984536209,423101189,LAL(R),LAL(R),20677,27880,21934,20657,27862,21955,0.973,0.768678,LAL100,
41,984536209,423101189,CRE(R),CRE(R),20072,32200,22420,20090,32203,22432,0.894,0.988478,LAL100,
42,984536209,423101189,CRE(R),CRE(R),21893,34828,20430,21893,34798,20445,0.937,0.765261,LAL100,
43,984536209,423101189,CRE(R),CRE(R),18800,28957,20614,18771,28961,20606,0.997,0.757197,LAL100,
44,984536209,423101189,LAL(R),LAL(R),19326,29180,23555,19310,29180,23540,0.9,0.98517,LAL100,
45,984536209,423101189,CRE(R),CRE(R),21973,34474,21131,21951,34495,21107,0.975,0.511896,LAL100,
46,984536209,423101189,CRE(R),CRE(R),20300,35326,20312,20299,35344,20318,0.959,0.94918,LAL100,
47,984536209,423101189,LAL(R),LAL(R),20870,27691,22053,20898,27685,22047,0.967,0.758707,LAL100,
48,984536209,423101189,LAL(R),LAL(R),20819,27670,22027,20811,27660,22015,0.859,0.924144,LAL100,
49,984536209,423101189,CRE(R),CRE(R),20718,35009,20121,20709,35019,20128,0.933,0.872281,LAL100,
50,984536209,423101189,CRE(R),CRE(R),20630,35005,20117,20654,35020,20101,0.852,0.717261,LAL100,
51,984536209,423101189,LAL(R),LAL(R),20145,28119,22793,20137,28159,22806,0.953,0.408343,LAL100,
52,984536209,423101189,CRE(R),CRE(R),17966,28011,18711,17997,28011,18722,0.972,0.77024,LAL100,
53,984536209,423101189,CRE(R),CRE(R),18652,28951,18146,18654,28928,18145,0.907,0.942229,LAL100,
54,984536209,423101189,CRE(R),CRE(R),18706,28999,18090,18699,29025,18076,0.953,0.827875,LAL100,
55,984536209,423101189,CRE(R),CRE(R),19993,28787,21101,20012,28795,21073,0.991,0.394871,LAL100,
56,984536209,423101189,CRE(R),CRE(R),18772,28920,20386,18765,28908,20417,0.983,0.683607,LAL100,
57,984536209,423101189,CRE(R),CRE(R),19281,31798,23157,19263,31810,23127,0.985,0.443463,LAL100,
58,984536209,423101189,CRE(R),CRE(R),18795,32084,22126,18787,32060,22165,0.988,0.596656,LAL100,
59,984536209,423101189,CRE(R),CRE(R),19200,31810,21416,19208,31823,21454,0.983,0.596049,LAL100,
60,984536209,423101189,CRE(R),CRE(R),19282,31846,21373,19258,31818,21380,0.985,0.56748,LAL100,
61,984536209,423101189,CRE(R),CRE(R),20085,33409,22031,20068,33434,22032,0.916,0.766152,LAL100,
62,984536209,423101189,CRE(R),CRE(R),20118,33417,22020,20128,33433,22037,0.916,0.968557,LAL100,
63,984536209,423101189,LAL(R),LAL(R),19701,29109,22183,19717,29103,22184,0.79,0.998,LAL100,
64,984536209,423101189,CRE(R),CRE(R),20053,32314,22938,20074,32315,22925,0.962,0.976044,LAL100,
65,983771898,423101189,CRE(R),CRE(R),18852,28618,18243,18820,28613,18258,0.957,0.683178,,
66,983771898,423101189,SMP(R),SMP(R),20186,27022,15017,20179,27023,14987,0.827,0.666289,,
67,983771898,423101189,CRE(R),CRE(R),18710,27390,17373,18714,27430,17375,0.923,0.4634196,,
68,983771898,423101189,CRE(R),CRE(R),17286,30650,21936,17309,30664,21961,0.987,0.48038942,,
69,983771898,423101189,CRE(R),CRE(R),17172,30718,22264,17181,30702,22295,0.787,0.63,,
70,983771898,423101189,CRE(R),CRE(R),17320,30590,21977,17311,30579,21988,0.998,0.998827,,
71,983771898,423101189,CRE(R),CRE(R),17529,29758,20659,17525,29750,20673,0.984,0.997303,,
72,983771898,423101189,SMP(R),SMP(R),20264,26923,15007,20266,26916,14973,0.953,0.980749,,
73,983771898,423101189,CRE(R),CRE(R),19548,27737,19649,19523,27738,19642,0.853,0.871937,,
74,983771898,423101189,CRE(R),CRE(R),19227,27395,17498,19207,27384,17493,0.967,0.842748,,
75,983771898,423101189,SMP(R),SMP(R),22031,27539,15733,22048,27545,15716,0.985,0.647901,,
